Id,SalePrice
1461,284398.475
1462,300971.2775
1463,349489.1375
1464,360345.395
1465,350724.9075
1466,338178.8075
1467,317156.9725
1468,333954.21
1469,345986.1575
1470,296701.75
1471,371718.1975
1472,289467.175
1473,288771.1025
1474,341195.77
1475,280839.925
1476,400979.4725
1477,338442.3325
1478,371271.475
1479,389915.17
1480,368369.465
1481,384867.235
1482,358593.075
1483,330299.2975
1484,345044.88
1485,400323.0475
1486,383706.615
1487,401222.425
1488,335618.205
1489,335111.8175
1490,373313.405
1491,360071.02
1492,254837.5275
1493,312117.7975
1494,402416.9625
1495,389415.91
1496,376608.52
1497,353759.98
1498,358311.885
1499,372965.155
1500,353055.1125
1501,350596.2275
1502,377412.715
1503,367400.0975
1504,394990.7975
1505,362394.2675
1506,286187.18
1507,375003.63
1508,342302.4875
1509,311043.96
1510,284490.5875
1511,312130.7575
1512,310404.14
1513,295801.6675
1514,241252.405
1515,332438.9475
1516,306974.19
1517,319162.9925
1518,258316.23
1519,346900.09
1520,283915
1521,281653.49
1522,312284.22
1523,290244.6025
1524,289744.5225
1525,280070.0025
1526,282135.4125
1527,263736.18
1528,297104.405
1529,296067.465
1530,313878.8175
1531,330123.34
1532,260264.825
1533,296895.585
1534,309160.9275
1535,329337.865
1536,290804.5
1537,260090.9175
1538,328750.0275
1539,338282.305
1540,262438.5575
1541,311636.335
1542,303518.835
1543,332180.4825
1544,289815.98
1545,301795.2
1546,326497.05
1547,324053.7625
1548,303307.8725
1549,304738.735
1550,311535.9025
1551,287343.3475
1552,312505.3775
1553,308183.69
1554,292594.0775
1555,291584.0575
1556,297022.4125
1557,278259.015
1558,302732.7525
1559,263324.03
1560,319554.5275
1561,249730.5225
1562,304096.45
1563,294913.4225
1564,307150.115
1565,336608.8975
1566,348294.0325
1567,259657.02
1568,363607.165
1569,339209.21
1570,324541.24
1571,292376.86
1572,291529.4875
1573,349460.8125
1574,273202.2075
1575,346812.0075
1576,381402.9275
1577,343256.0825
1578,304122.505
1579,310983.25
1580,351064.5375
1581,336605.57
1582,280885.695
1583,365345.9775
1584,381267.6425
1585,341276.9925
1586,236877.6375
1587,275514.75
1588,295797.8475
1589,308432.9075
1590,288957.8775
1591,235287.9125
1592,296132.8
1593,302429.42
1594,233516.4425
1595,279003.3975
1596,351153.1875
